"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.1.0.2","TCP","82","36011  >  9999 [SYN] Seq=0 Win=65535 Len=0"
"2","0.000692369","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"3","0.000905792","10.0.0.1","10.1.0.2","TCP","82","36011  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","0.001564455","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"5","0.001581669","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=1361 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"6","0.001587169","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=2721 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"7","0.001592169","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=4081 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"8","0.001596628","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=5441 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"9","0.001601737","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=6801 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"10","0.001608020","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=8161 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"11","0.001670441","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=9521 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"12","0.001678747","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=10881 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"13","0.001684188","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=12241 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"14","0.001689358","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=13601 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"15","0.001694398","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=14961 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"16","0.001698886","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=16321 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"17","0.001704076","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=17681 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"18","0.001783862","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=19041 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"19","0.001823308","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=20401 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"20","0.001832937","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=21761 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"21","0.001842826","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=23121 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"22","0.001853066","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=24481 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"23","0.001860420","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=25841 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"24","0.001870760","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=27201 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"25","0.001877332","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=28561 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"26","0.001882322","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=29921 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"27","0.001887041","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=31281 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"28","0.001893474","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=32641 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"29","0.001903263","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=34001 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"30","0.001924113","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=35361 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"31","0.001962317","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=36721 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"32","0.001973008","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=38081 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"33","0.001980602","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=39441 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"34","0.001987826","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=40801 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"35","0.001994329","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=42161 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"36","0.001998938","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=43521 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"37","0.001999919","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=5441 Win=60095 Len=0"
"38","0.002009958","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=6801 Win=58735 Len=0"
"39","0.002032291","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=8161 Win=57375 Len=0"
"40","0.002078861","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=44881 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"41","0.002097908","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=46241 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"42","0.002107286","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=9521 Win=56015 Len=0"
"43","0.002111935","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=47601 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"44","0.002117566","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=48961 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"45","0.002123077","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=50321 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"46","0.002127876","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=51681 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"47","0.002149278","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=53041 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"48","0.002155890","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=54401 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"49","0.002160419","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=55761 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"50","0.002160269","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=10881 Win=54655 Len=0"
"51","0.002164808","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=57121 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"52","0.002168124","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=12241 Win=53295 Len=0"
"53","0.002169637","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=58481 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"54","0.002174106","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=59841 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"55","0.002175669","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=13601 Win=51935 Len=0"
"56","0.002179075","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=61201 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"57","0.002183814","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=62561 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"58","0.002188343","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=63921 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"59","0.002193894","10.0.0.1","10.1.0.2","TCP","337","[TCP Window Full] 36011  >  9999 [ACK] Seq=65281 Ack=1 Win=65535 Len=255 [TCP segment of a reassembled PDU]"
"60","0.002232539","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=14961 Win=50575 Len=0"
"61","0.002295661","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=16321 Win=49215 Len=0"
"62","0.002320649","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=17681 Win=47855 Len=0"
"63","0.002330027","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=19041 Win=46495 Len=0"
"64","0.002571544","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=20401 Win=64175 Len=0"
"65","0.002589279","10.1.0.2","10.0.0.1","TCP","82","9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"66","0.002599328","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#1] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"67","0.002621421","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#2] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"68","0.002629787","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#3] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"69","0.002634657","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#4] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"70","0.002640348","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#5] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=62815 Len=0"
"71","0.002648313","10.1.0.2","10.0.0.1","TCP","82","[TCP Window Update] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"72","0.002655807","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#6] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"73","0.002662541","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#7] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"74","0.002670426","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#8] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"75","0.002677930","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#9] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"76","0.002678191","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=65536 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"77","0.002684743","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#10] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"78","0.002688230","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=66896 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"79","0.002692328","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#11] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"80","0.002696206","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=68256 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"81","0.002699262","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#12] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"82","0.002702989","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=69616 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"83","0.002704251","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#13] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"84","0.002707848","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=70976 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"85","0.002709131","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#14] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"86","0.002712657","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=72336 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"87","0.002713760","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#15] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"88","0.002717216","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=73696 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"89","0.002718429","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#16] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"90","0.002722006","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=75056 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"91","0.002723198","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#17] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"92","0.002726745","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=76416 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"93","0.002727807","10.1.0.2","10.0.0.1","TCP","82","[TCP Dup ACK 65#18] 9999  >  36011 [ACK] Seq=1 Ack=21761 Win=65535 Len=0"
"94","0.002731183","10.0.0.1","10.1.0.2","TCP","1442","36011  >  9999 [ACK] Seq=77776 Ack=1 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
